mean,median,std_dev,max,min,entropy,edges_mean,fft_mean,fft_median,fft_std,fft_max,fft_min,haar_mean,haar_median,haar_std,haar_max,haar_min,dct_mean,dct_median,dct_std,dct_max,dct_min,label
0.5129283837,0.4803090196,0.2624804679,1,0,16.52173659,0.11323125,17.03786786,3.494426004,229.8441966,82068.5414,0.004187399039,1.025856767,0.9585620588,0.5223123052,2,0.00364627451,0.001660277629,-3.07E-06,0.5761846634,205.1713535,-47.99411289,0
0.321863407,0.1742752941,0.2640161932,0.9692227451,0.07165803922,11.29457587,0.03553125,8.515173727,0.9767997174,166.2996942,51498.14512,0.001502685174,0.643726814,0.3485505882,0.5273473935,1.928515098,0.1785623529,0.0004654515653,3.75E-07,0.41629363,128.7453628,-68.16035819,0
0.4791721712,0.4763817647,0.2226137936,0.9919047059,0.04682509804,16.1446181,0.067075,12.21852444,1.531514566,210.9899689,76667.54739,0.0009516289555,0.9583443423,0.951365,0.4435170083,1.976307255,0.1126172549,0.001302052586,9.05E-06,0.5283570529,191.6688685,-45.19797319,0
0.4653869242,0.5486717647,0.2625442349,0.9064627451,0.005618039216,14.88783619,0.0334625,9.146178842,0.935440974,213.5384315,74461.90787,0.002415706522,0.9307738483,1.096078431,0.5244746487,1.807043137,0.02536803922,0.0006110216724,2.78E-06,0.5343351861,186.1547697,-78.54012993,0
0.2451303898,0,0.3485224217,1,0,7.856563439,0.0472,13.03320548,1.394387082,169.9388755,39220.86237,0.001055621692,0.4902607796,0,0.6956217689,1.996900784,0,5.26E-05,1.57E-06,0.426094806,98.05215593,-100.671899,0
0.4623612413,0.4582509804,0.154400208,0.9988690196,0.02863882353,15.27617494,0.0491,9.343359538,1.132886883,194.760048,73977.79861,0.004610409712,0.9247224827,0.9153877451,0.3071593263,1.996465686,0.08461921569,0.001655037921,6.16E-06,0.4874572828,184.9444965,-20.00969001,0
0.4519882326,0.3305866667,0.3245086415,0.9980356863,0.008981176471,14.73773549,0.07955625,21.62381249,3.790629646,221.513625,72318.11722,0.005643174589,0.9039764652,0.6933930392,0.6438786218,1.992424706,0.07946490196,0.0004233892123,9.03E-06,0.5564162485,180.795293,-92.16044437,0
0.3441214583,0.1923937255,0.2636475319,1,0.0635027451,13.92717232,0.0568875,13.8028057,1.719608952,172.8531701,55059.43333,0.002864350617,0.6882429166,0.3840578431,0.5248338132,2,0.1466505882,0.0003657832334,-9.86E-07,0.4335083221,137.6485833,-59.66803218,0
0.280785073,0.1844529412,0.2616098159,0.987067451,0.007254901961,12.10239576,0.07988125,12.57622623,2.009175351,152.992258,44925.61169,0.003727517221,0.5615701461,0.3743142157,0.5215156526,1.95004,0.04345411765,0.0001672887915,-5.45E-06,0.3837706673,112.3140292,-71.99761391,0
0.3711990717,0.3383819608,0.3311503762,1,0.008430588235,14.61983493,0.0852,17.38147881,2.602790429,198.2164872,59391.85147,0.004580066044,0.7423981434,0.6901476471,0.6592496243,2,0.03107960784,0.0001498132736,2.15E-06,0.4974427605,148.4796287,-82.20359484,0
0.3347214739,0.2533,0.2756269561,1,0,14.99245746,0.064225,11.7052201,1.783869679,173.0444372,53555.43582,0.006029014976,0.6694429477,0.5097972549,0.5499298819,1.997358627,0,0.0005111556668,-5.74E-06,0.4335993804,133.8885895,-69.41204267,0
0.3622045831,0.2736043137,0.3309604149,0.9960784314,0,14.00976545,0.07169375,16.23144065,2.70485445,195.5833667,57952.73329,0.005471403343,0.7244091661,0.5523397059,0.6594155906,1.941176471,0.003921568627,0.0001156621539,-1.78E-05,0.4906393205,144.8818332,-80.85680875,0
0.2657024705,0.08235294118,0.248927346,0.9862709804,0.01317843137,9.990419671,0.047125,10.84754133,1.681582077,145.2320594,42512.39527,0.003571414156,0.5314049409,0.1647058824,0.496684183,1.932210196,0.07843137255,0.0002601326402,-1.20E-06,0.3640914153,106.2809882,-68.592522,0
0.1092606467,0.003921568627,0.2043717238,0.8749992157,0,7.014276325,0.03164375,7.352194714,0.9288854485,92.40592892,17481.70347,0.001449718134,0.2185212934,0.007843137255,0.4079202576,1.706098039,0,4.66E-05,-7.48E-07,0.2317448775,43.70425868,-47.58869594,0
0.3816067341,0.2949968627,0.2806337085,0.9456635294,0.002805490196,14.01302135,0.0428875,10.79508508,1.761191466,189.1668644,61057.07746,0.001025564676,0.7632134683,0.5925827451,0.5602292913,1.890791373,0.005610980392,0.0004278818592,6.48E-06,0.4736863886,152.6426937,-81.32115521,0
